Mohan Bhai Chicken And Chin..,"Plot No- I-3, Ground Floor Sharvodhar Shadi Hall, Bajari, Kolar Road, Bhopal - 462042, Near Milan Sweet (Map)",4.6,-9152751268,4,https://www.justdial.com/Bhopal/Mohan-Bhai-Chicken-And-Chinese-Fastfood-Near-Milan-Sweet-Kolar-Road/0755PX755-X755-171204141300-H7V3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,12:00 pm - 10:30 pm
New Zam Zam Restaurant,"86-A, Main Road, Awadhpuri Square, Awadhpuri, Bhopal - 462022, Near Ondoor (Map)",4.3,-9152842080,22,https://www.justdial.com/Bhopal/New-Zam-Zam-Restaurant-Near-Ondoor-Awadhpuri/0755PX755-X755-160804155948-Z9P6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Hyderabadi Bawarchi Bhopal,"191, Phase -2 E-8 Extension, Gulmohar Colony, Bhopal - 462039, Near ECo Aakriti City Gate (Map)",3.5,-9152900098,7,https://www.justdial.com/Bhopal/Hyderabadi-Bawarchi-Bhopal-Near-ECo-Aakriti-City-Gate-Gulmohar-Colony/0755PX755-X755-180212105203-N4E9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 11:30 pm
Ganesh Chinese Fast Food C..,"Shop No 3, V D Nayar Complex, Mahabali Nagar, Kolar Road, Bhopal - 462042, Mahabali (Map)",4.2,-9152680952,11,https://www.justdial.com/bhopal/Ganesh-Chinese-Fast-Food-Centre-Mahabali-Kolar-Road/0755PX755-X755-151130070937-T6D9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:30 am - 10:30 pm
Mamaji Jalebi Wale,"Shop Number 8&9, Lakherapura Road, Lakherapura, Bhopal - 462001, Sarafa chouk (Map)",4,-9152608115,4,https://www.justdial.com/Bhopal/Mamaji-Jalebi-Wale-Sarafa-chouk-Lakherapura/0755PX755-X755-110321170338-W2A3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 11:00 pm
Hotel Sarthak,"37 Malviya Nagar, New Market, Bhopal - 462003 (Map)",4,-9152681962,188,https://www.justdial.com/Bhopal/Hotel-Sarthak-New-Market/0755P755STDG000079_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,Open 24 Hrs
Manglam Caterers And Event ..,"BM -100, Neharu Nagar Square., Nehru Nagar, Bhopal - 462003, Opposite Sai Temple (Map)",4,-9152574317,5,https://www.justdial.com/Bhopal/Manglam-Caterers-And-Event-Services-(Sweets-And-Restaurant)-Opposite-Sai-Temple-Nehru-Nagar/0755PX755-X755-110217224938-T3J2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,07:00 am - 11:00 pm
Ikka Cafe & Lounge Bar,"Shop No 1 & 2, S K Plaza, Kolar Road, Bhopal - 462042, Near Quality Homes, Bima Kunj (Map)",5,-9152635351,2,https://www.justdial.com/Bhopal/Ikka-Cafe-Lounge-Bar-Near-Quality-Homes-Bima-Kunj-Kolar-Road/0755PX755-X755-160524143345-L1R7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 11:00 pm
Naveens Bapu Ki Kutia,"Shop No.13/17, First Floor, Amaltas Green Height, Gulmohar, Trilanga, Bhopal - 462039, Near Aura Mall (Map)",4.1,-9152829072,37,https://www.justdial.com/Bhopal/Naveens-Bapu-Ki-Kutia-Near-Aura-Mall-Trilanga/0755PX755-X755-170106121312-Y1U1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:00 pm
Tirupati Restaurant,"Shop no.B-012(A)-15, Yashoda parisar complex, Kolar Road, Bhopal - 462042, Oposite bima kunj parisar (Map)",4.2,-9152680991,6,https://www.justdial.com/Bhopal/Tirupati-Restaurant-Oposite-bima-kunj-parisar-Kolar-Road/0755PX755-X755-170415135041-D6S6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 10:00 pm
